question_id,section_id,text,option_a,option_b,option_c,option_d,correct_option,bloom_level,difficulty,lo_id,lo_title,hint,explanation,icon
q2_1,materials,Why are commercial restroom windows frequently manufactured using frosted or textured glass rather than clear plate glass?,Frosted glass is significantly stronger and shatterproof,"It is translucent, allowing daylight in while diffusing rays so shapes cannot be distinguished","It is 100% opaque, preventing all light transmission",It absorbs UV rays to keep the interior cooler,B,apply,easy,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Think about balancing privacy with natural illumination.,"Translucent materials allow light to transmit through them but scatter the rays in multiple directions, maintaining privacy by blurring recognizable silhouettes while keeping the room lit.",box
q2_2,materials,An agricultural engineer is designing a commercial greenhouse for growing tomatoes. Which material should be selected for the roof panels?,Treated plywood sheets,Heavy corrugated cardboard,Clear float glass or transparent polycarbonate sheets,Opaque black vinyl sheeting,C,apply,easy,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Crops require maximum uninterrupted photosynthetic active radiation (PAR).,"Transparent materials permit almost complete transmission of visible light without substantial scattering or absorption, providing the high flux of direct sunlight plants require for photosynthesis.",sun
q2_3,materials,Which of the following objects is strictly classified as an opaque material?,A clean sheet of cellophane film,A slab of seasoned oak wood,A thin sheet of tracing paper,A beaker of pure distilled water,B,remember,easy,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,An opaque object allows zero visible light to pass through.,"Wood is an opaque solid. It either absorbs or reflects all incident visible light, allowing no photons to transmit through its thickness.",door-closed
q2_4,materials,"At oceanic depths beyond 1,000 meters (the aphotic bathypelagic zone), perpetual complete darkness reigns. What does this reveal about transparent liquids in large volumes?",Water molecules lose transparency and turn into opaque black particles under hydrostatic pressure,"Even transparent substances absorb a small fraction of light per meter; over great depths, cumulative absorption extinguishes all visible light",Deep ocean water conducts light faster until it radiates away into the mantle,Cold saline water acts as a total internal reflector,B,analyze,hard,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Transparency is not 100% loss-free. Even clear water absorbs fractional photon energy per unit distance.,"Transparency is a gradient. Pure water absorbs and scatters small amounts of photons across its path length. At depth, cumulative attenuation extinguishes sunlight completely, rendering deep ocean water effectively opaque.",waves
q2_5,materials,"Waxed parchment paper and butter paper allow light to pass through diffusely, but objects behind them cannot be seen clearly. These materials are classified as:",Transparent,Translucent,Opaque,Luminescent,B,remember,easy,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Between transparent (crystal clear) and opaque (no light).,Translucent substances allow partial transmission of light but internally scatter the rays so that clear images cannot be resolved through them.,scroll
q2_6,materials,Why do automotive safety regulations strictly mandate transparent laminated glass for front windshields rather than tinted translucent panels?,Translucent panels make the car cabin too hot during summer,"Translucent panels scatter light, destroying spatial resolution and road hazard contrast needed for safe driving",Transparent glass is less dense and weighs less,Translucent materials block radio and cellular signals,B,understand,medium,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,"Drivers need undistorted, sharp geometric detail at high speeds.","Translucent materials produce diffuse scattering, which obliterates sharp contours and distance perception. A windshield must be optically transparent to provide undistorted visual telemetry of the roadway.",car
q2_7,materials,"When placed into a uniform beam of light, which of the following objects will cast the darkest, most distinct shadow on a white screen?",A clean optical glass lens,A piece of paraffin wax paper,A solid cast-iron block of identical dimensions,A clear polyethylene water bottle,C,apply,medium,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,The darkest shadow requires complete blockage of light rays without transmission.,"A cast-iron block is completely opaque, absorbing or reflecting 100% of incident light and leaving a completely blocked umbral region on the screen.",box
q2_8,materials,"If you coat the exterior of a clear transparent glass jar with several thick coats of black acrylic enamel, its optical property transitions from:",Transparent to translucent,Translucent to transparent,Transparent to opaque,Opaque to translucent,C,understand,easy,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Black paint absorbs virtually all visible photons.,"Clear glass is transparent. Applying thick black pigment introduces an opaque barrier layer that absorbs all incident photons, converting the object to an opaque container.",brush
q2_9,materials,Why do lighting designers place translucent fabric or frosted acrylic diffusers around bare filament bulbs?,To increase the total lumen output of the bulb,"To scatter intense point-source light uniformly across a broader surface, eliminating harsh glare",To convert visible light into infrared radiant heat,To make the light pulse at higher frequencies,B,apply,medium,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Direct concentrated bulbs cause glare; diffuse scattering softens illumination.,"Bare bulbs act as high-luminance point sources that cause visual glare and sharp, harsh shadows. A translucent shade scatters the transmitted light into an extended, comfortable diffuse source.",lamp
q2_10,materials,"When standing in a lit room at night looking out through a clear glass window into the dark outdoors, you see a faint reflection of yourself. What does this demonstrate?",Glass is an opaque substance that only pretends to be clear in daylight,Materials can exhibit both partial transmission (transparency) and partial reflection simultaneously at optical boundaries,Night air pushes photons back into the glass,The glass has absorbed all external colors,B,analyze,hard,SCI6-CH10-S02-LO02,Light Transmission & Material Classification,Notice that about 4-8% of light is reflected at glass-air interfaces while the rest transmits.,"At dielectric boundaries (like air-to-glass), Fresnel reflection causes ~4% of light to reflect back while ~96% transmits. When the outside is dark, the reflected interior light is not washed out by external sunlight and becomes easily visible.",sparkles
q3_1,shadows,"As a person walks steadily toward and then directly beneath an overhead streetlamp at night, how does their cast shadow evolve?",It continuously lengthens and stays ahead of them,"It shortens as they approach the lamp, shrinks beneath them, and then lengthens behind them as they walk away",It remains constant in length but changes color from black to grey,It completely vanishes until they reach the next streetlamp,B,apply,medium,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Trace the angle of rays from the elevated point source past the person's head to the pavement.,"As the angle of incident light becomes steeper (closer to vertical overhead), the projected geometric shadow on the ground shortens. Once directly underneath, it is minimal, and then elongates behind them as the angle shallows.",arrow-right
q3_2,shadows,Which three elements are strictly necessary and sufficient to produce a cast shadow?,"A luminous source, an opaque or translucent obstacle, and a projection surface/screen","A concave mirror, a vacuum chamber, and an observer's eye","Direct sunlight, atmospheric dust, and an electrical ground","A prism, a magnifying glass, and a dark room",A,remember,easy,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing","You need something that emits light, something that blocks light, and somewhere for the blocked region to fall.","Shadow formation fundamentally requires: (1) a source of photons, (2) an obstruction that intercepts those photons, and (3) a physical surface or medium upon which the absence of light can be observed.",box
q3_3,shadows,"When performing a hand-shadow projection against a wall using a single stationary flashlight, how can the performer make the shadow grow much larger?",Move their hand closer to the wall and further from the flashlight,Move their hand closer to the flashlight and further from the wall,"Switch to a dimmer, colored bulb",Move the flashlight further away from both hand and wall,B,apply,medium,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Consider the diverging cone of rays emitted by the flashlight.,"Light from a point source diverges outward in a cone. Placing the hand closer to the source intercepts a wider angular sector of rays, projecting an expanded geometric shadow onto the distant wall.",maximize
q3_4,shadows,At what time of day will a vertical monument in New Delhi cast its shortest shadow on a clear summer day?,Sunrise (approx. 5:45 AM),Mid-morning (approx. 9:30 AM),Solar noon (when the Sun reaches maximum altitude),Late afternoon (approx. 5:00 PM),C,understand,easy,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Shadow length is inversely related to solar elevation angle.,"At solar noon, the Sun reaches its highest zenith elevation in the sky. Incident rays strike the Earth at their steepest angle, producing the shortest cast shadow of the day.",clock
q3_5,shadows,"In optical ray tracing, what is the canonical scientific term for the completely dark inner core of a shadow where the light source is 100% occluded?",The penumbra,The umbra,The antumbra,The diffraction fringe,B,remember,easy,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Derived from Latin for 'shadow'. Starts with 'U'.,"The umbra is the central, darkest region of a shadow where all direct light rays from the illuminating source are completely blocked by the opaque object.",focus
q3_6,shadows,"What is the lighter, soft-focus outer boundary region of a shadow where only a fraction of an extended light source is blocked?",The penumbra,The corona,The umbra,The optical axis,A,remember,easy,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Latin prefix 'paene' meaning 'almost' + 'umbra'.,"The penumbra is the transitional grey zone surrounding the umbra where the light source is only partially obscured, creating a gradient from dark to full illumination.",cloud
q3_7,shadows,"Why does a tiny pinhole LED produce razor-sharp shadow edges, whereas an extended fluorescent tube produces wide, blurry shadow borders?",Fluorescent light travels in parabolic waves instead of straight lines,"A point source produces only an umbra; an extended source creates multiple overlapping shadow projections, generating a wide penumbra",LED photons move with higher kinetic energy,Fluorescent tubes polarize shadows into radio waves,B,analyze,hard,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Every point on an extended source casts its own shadow from a slightly different angle.,"An extended light source is an array of infinite point emitters. Each point casts a slightly offset shadow. Where these shadows overlap only partially, a wide penumbral gradient appears, blurring the border.",target
q3_8,shadows,"Why does a commercial airliner flying at 35,000 feet under bright midday sunshine fail to cast a visible shadow on the ground?",Modern airplanes are coated with transparent anti-radar stealth paint,Atmospheric nitrogen absorbs shadows before they reach sea level,"The Sun is an extended angular light source (~0.5°); at high altitudes, the airplane's umbra tapers to a point long before reaching the ground, leaving an imperceptibly diluted penumbra",The aircraft flies faster than the speed of light propagation,C,analyze,hard,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing","Because the Sun is vastly larger than the plane, the plane's umbra converges into a cone and terminates in midair.","The Sun subtends an angular diameter of 0.5 degrees. Light rays converge past the airplane, causing its conical umbra to end several thousand feet below the plane. By the time light reaches the ground, the penumbra is so vast and faint that it blends completely into ambient daylight.",plane
q3_9,shadows,"If an opaque card is held stationary in front of a flashlight, what happens to its cast shadow as the white display screen behind it is moved twice as far away?",The shadow shrinks and becomes noticeably darker,The shadow area expands and its perimeter edges become softer/fuzzier,The shadow stays identical in size and crispness,The shadow disappears completely,B,understand,medium,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing",Light rays diverge outward from the obstacle toward the screen.,"Because rays diverge past the obstacle, moving the projection surface further away gives the blocked ray envelope more distance to expand, increasing the shadow size while enlarging the penumbra.",expand
q3_10,shadows,The geometric precision of shadows and sharp silhouettes formed by obstacles provides definitive empirical evidence that light:,Travels along rectilinear (straight-line) paths in homogeneous media,Can easily bend around opaque edges like sound waves do,Requires gravitational fields to maintain velocity,Is composed solely of magnetic dipole particles,A,understand,easy,SCI6-CH10-S03-LO03,"Umbra, Penumbra & Shadow Sizing","If light curved easily around macroscopic objects, sharp dark silhouettes could never form.","If light bent freely around obstacles (like macroscopic sound waves do around doorways), it would fill the volume behind any barrier. The existence of sharp, geometrically well-defined shadows proves rectilinear propagation.",zap
q4_1,eclipse,"During a Total Solar Eclipse, which celestial body positions itself directly between the Sun and the Earth to block sunlight?",Planet Venus,The Moon,A dense interstellar gas cloud,The planet Mars,B,remember,easy,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,It is Earth's only natural satellite.,"A solar eclipse happens when the Moon passes directly in line between the Sun and the Earth, casting its shadow onto portions of Earth's surface.",moon
q4_2,eclipse,An astronomical observer situated directly inside the Moon's ground-level umbra on Earth witnesses which phenomenon?,"A normal, full midday sun",A partial solar eclipse (sun seen as a crescent),A total solar eclipse with 100% solar disc occlusion and visible solar corona,A Blood Moon lunar eclipse,C,understand,easy,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,The umbra represents the zone of total occlusion.,"The umbral shadow corresponds to the path of totality. Within this corridor, the Moon completely obscures the photosphere, allowing the faint solar corona to become visible.",eye-off
q4_3,eclipse,Why does the Moon take on a distinctive coppery-red 'Blood Moon' coloration during a Total Lunar Eclipse rather than becoming pitch black?,The lunar surface rocks heat up to incandescence and glow red,"Sunlight passing through Earth's atmospheric ring is refracted and Rayleigh-scattered, filtering out blue wavelengths and bending red light into Earth's shadow",Solar wind excites neon and helium in the thin lunar exosphere,The Earth's oceans reflect red algae blooms into space,B,analyze,hard,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,Earth's atmosphere acts as a spherical lens projecting all of Earth's simultaneous sunrises and sunsets into its shadow cone.,Earth's atmosphere scatters shorter blue wavelengths and bends the remaining long-wavelength red light into the umbral shadow cone. This refracted red light illuminates the eclipsed Moon with a coppery glow.,flame
q4_4,eclipse,Why do solar and lunar eclipses NOT occur every single calendar month during New and Full Moon phases?,The Moon orbits Earth at variable speeds that outpace shadows,"The Moon's orbital plane is tilted at approximately 5 degrees relative to Earth's ecliptic plane, so its shadow usually passes above or below",The Sun shifts position north and south every two weeks,Earth's magnetic field repels the Moon's shadow cone,B,understand,medium,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,Orbits in 3D space are rarely on the exact same planar line.,The Moon's orbit is inclined by about 5.14° relative to the Earth's orbit around the Sun (ecliptic). Syzygy alignment occurs only when the New or Full Moon happens near the orbital nodes.,globe
q4_5,eclipse,In which lunar phase must the Moon strictly reside for a Solar Eclipse to take place?,Full Moon,First Quarter,New Moon,Waxing Gibbous,C,remember,easy,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,"The Moon must be on the daytime side of Earth, positioned between Earth and Sun.",A solar eclipse requires the Moon to stand directly between the Earth and Sun. This astronomical configuration corresponds strictly to the New Moon phase.,circle-dot
q4_6,eclipse,In which lunar phase must the Moon strictly reside for a Lunar Eclipse to occur?,Full Moon,New Moon,Third Quarter,Waning Crescent,A,remember,easy,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,"Earth must be between the Sun and Moon, illuminating the near side while casting its shadow.","A lunar eclipse occurs when Earth passes directly between the Sun and Moon, casting Earth's shadow onto the Moon. This configuration can only occur during a Full Moon.",circle
q4_7,eclipse,"Why can a Total Lunar Eclipse be viewed by billions of people across an entire hemisphere, while a Total Solar Eclipse can only be seen along a narrow strip of land?",Solar eclipses only happen at the North Pole,"In a lunar eclipse, Earth's massive shadow covers the entire Moon; in a solar eclipse, the Moon's tiny umbra projects a narrow shadow track (~100-250 km wide) on Earth",Lunar eclipses emit brighter radiation that penetrates clouds worldwide,Earth rotates backwards during solar eclipses,B,analyze,hard,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,Compare the physical size of Earth's shadow at lunar distance versus the Moon's shadow on Earth's surface.,"Earth is ~3.7 times wider than the Moon. Earth's shadow easily encompasses the entire lunar surface, making a lunar eclipse visible to anyone facing the Moon. Conversely, the Moon's umbra tapers to a small spot (100–250 km wide) on Earth's vast surface.",target
q4_8,eclipse,"If the Moon's average orbital distance were 10% further from Earth than it is today, what impact would this have on Solar Eclipses?",Total solar eclipses would last for 24 hours continuously,Total solar eclipses would become completely impossible; only annular (ring of fire) and partial solar eclipses could occur,Solar eclipses would happen twice every month,The Sun's corona would permanently vanish,B,apply,hard,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,Increased distance reduces apparent angular diameter in the sky.,"Currently, the Moon's apparent angular size matches the Sun's (~0.5°). If the Moon were 10% further, its apparent diameter would always be smaller than the Sun's, so its umbral cone would never reach Earth's surface — yielding only annular eclipses.",expand
q4_9,eclipse,"What is the name of the superheated, ghostly white outer atmosphere of the Sun that becomes visible to observers during a Total Solar Eclipse?",The troposphere,The solar corona,The photosphere,The radiative zone,B,remember,easy,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,Latin for 'crown'.,"The corona is the outermost plasma layer of the solar atmosphere. Usually outshone by the brilliant photosphere, it radiates as a pearly-white halo during totality.",sun
q4_10,eclipse,What astronomical conditions produce an 'annular' solar eclipse (commonly known as the 'Ring of Fire')?,"The Moon is near apogee (furthest from Earth) in its elliptical orbit, making its apparent disc too small to completely cover the solar photosphere",The Sun passes behind a ring of cometary debris in the Kuiper belt,The Earth's atmosphere is unusually clear of clouds and ozone,The Moon spins 90 degrees on its rotational axis,A,understand,medium,SCI6-CH10-S04-LO04,Solar & Lunar Shadow Alignment,"When the Moon is at apogee (most distant), its angular size shrinks below the Sun's angular size.","Because the Moon's orbit is elliptical, its distance varies. At apogee, its apparent size is slightly smaller than the Sun's disc. When perfectly centered, a brilliant ring ('annulus') of the photosphere remains visible around the dark lunar silhouette.",circle-dot
